Dantovo peklo	Inferno, L' 	1911	Drama / Dobrodrunı	Itálie / Velká Británie	Giuseppe de Liguoro, Adolfo Padovan	6.5	7.0	www.csfd.cz/film/225392-dantovo-peklo/	www.imdb.com/title/tt0002130/
Nezávislost Rumunska	Independen?a României 	1912	Historickı / Váleènı	Rumunsko	Aristide Demetriade	4.6	6.4	www.csfd.cz/film/234861-nezavislost-rumunska/	www.imdb.com/title/tt0002452/
Fantomas	Juve contre Fantômas 	1913	Drama	Francie	Louis Feuillade	7.7	7.0	www.csfd.cz/film/189902-fantomas/	www.imdb.com/title/tt0003037/
Mort qui tue, Le 	Mort qui tue, Le 	1913	Drama	Francie	Louis Feuillade	6.8	7.0	www.csfd.cz/film/189904-mort-qui-tue-le/	www.imdb.com/title/tt0003165/
Praskı student	Student von Prag, Der 	1913	Drama / Horor	Nìmecko	Stellan Rye, Paul Wegener	7.2	6.5	www.csfd.cz/film/139429-prazsky-student/	www.imdb.com/title/tt0003419/
Boj o svìtovládu	Cabiria 	1914	Dobrodrunı / Drama / Váleènı	Itálie	Giovanni Pastrone	7.9	6.9	www.csfd.cz/film/133663-boj-o-svetovladu/	www.imdb.com/title/tt0003740/
Faux magistrat, Le 	Faux magistrat, Le 	1914	Drama	Francie	Louis Feuillade	8.1	6.8	www.csfd.cz/film/189897-faux-magistrat-le/	www.imdb.com/title/tt0003952/
Chaplin honí dolary	Tillie's Punctured Romance 	1914	Komedie	USA	Mack Sennett	6.4	6.8	www.csfd.cz/film/19059-chaplin-honi-dolary/	www.imdb.com/title/tt0004707/
Golem	Golem, Der 	1915	Horor	Nìmecko	Henrik Galeen, Paul Wegener	7.2	6.5	www.csfd.cz/film/139294-golem/	www.imdb.com/title/tt0004026/
Vampires, Les 	Vampires, Les 	1915	Krimi / Dobrodrunı / Akèní / Drama / Mysteriózní / Thriller	Francie	Louis Feuillade	7.6	7.1	www.csfd.cz/film/189916-vampires-les/	www.imdb.com/title/tt0006206/
Zrození národa	Birth of a Nation, The 	1915	Drama / Historickı / Romantickı / Váleènı	USA	D. W. Griffith	7.5	6.9	www.csfd.cz/film/3439-zrozeni-naroda/	www.imdb.com/title/tt0004972/
