zanr,pocet,zeme
Akèní,0,AT
Animovaný,1,AT
Dobrodružný,5,AT
Dokumentární,22,AT
Drama,69,AT
Experimentální,1,AT
Fantasy,2,AT
Film-Noir,0,AT
Historický,7,AT
Horor,3,AT
Hudební,4,AT
Katastrofický,0,AT
Komedie,13,AT
Krimi,7,AT
Muzikál,1,AT
Mysteriózní,4,AT
Poetický,1,AT
Pohádka,2,AT
Psychologický,5,AT
Rodinný,2,AT
Romantický,12,AT
Sci-Fi,0,AT
Sportovní,2,AT
Thriller,7,AT
Váleèný,5,AT
Western,0,AT
Životopisný,8,AT
Akèní,40,CN
Animovaný,0,CN
Dobrodružný,15,CN
Dokumentární,4,CN
Drama,87,CN
Experimentální,0,CN
Fantasy,7,CN
Film-Noir,0,CN
Historický,15,CN
Horor,2,CN
Hudební,1,CN
Katastrofický,0,CN
Komedie,15,CN
Krimi,8,CN
Muzikál,1,CN
Mysteriózní,1,CN
Poetický,1,CN
Pohádka,0,CN
Psychologický,0,CN
Rodinný,1,CN
Romantický,31,CN
Sci-Fi,4,CN
Sportovní,3,CN
Thriller,10,CN
Váleèný,13,CN
Western,0,CN
Životopisný,7,CN
Akèní,7,CS
Animovaný,19,CS
Dobrodružný,73,CS
Dokumentární,34,CS
Drama,946,CS
Experimentální,6,CS
Fantasy,38,CS
Film-Noir,1,CS
Historický,115,CS
Horor,12,CS
Hudební,68,CS
Katastrofický,0,CS
Komedie,626,CS
Krimi,148,CS
Muzikál,27,CS
Mysteriózní,10,CS
Poetický,42,CS
Pohádka,62,CS
Psychologický,183,CS
Rodinný,165,CS
Romantický,134,CS
Sci-Fi,37,CS
Sportovní,26,CS
Thriller,11,CS
Váleèný,126,CS
Western,3,CS
Životopisný,28,CS
Akèní,7,CZ
Animovaný,7,CZ
Dobrodružný,7,CZ
Dokumentární,82,CZ
Drama,100,CZ
Experimentální,2,CZ
Fantasy,4,CZ
Film-Noir,0,CZ
Historický,12,CZ
Horor,5,CZ
Hudební,9,CZ
Katastrofický,0,CZ
Komedie,62,CZ
Krimi,8,CZ
Muzikál,2,CZ
Mysteriózní,5,CZ
Poetický,4,CZ
Pohádka,7,CZ
Psychologický,5,CZ
Rodinný,5,CZ
Romantický,23,CZ
Sci-Fi,2,CZ
Sportovní,8,CZ
Thriller,14,CZ
Váleèný,11,CZ
Western,0,CZ
Životopisný,14,CZ
Akèní,62,DE
Animovaný,20,DE
Dobrodružný,45,DE
Dokumentární,70,DE
Drama,521,DE
Experimentální,2,DE
Fantasy,41,DE
Film-Noir,1,DE
Historický,34,DE
Horor,35,DE
Hudební,28,DE
Katastrofický,1,DE
Komedie,159,DE
Krimi,79,DE
Muzikál,8,DE
Mysteriózní,49,DE
Poetický,4,DE
Pohádka,2,DE
Psychologický,11,DE
Rodinný,15,DE
Romantický,111,DE
Sci-Fi,31,DE
Sportovní,21,DE
Thriller,109,DE
Váleèný,54,DE
Western,5,DE
Životopisný,43,DE
Akèní,14,DN
Animovaný,6,DN
Dobrodružný,4,DN
Dokumentární,21,DN
Drama,136,DN
Experimentální,0,DN
Fantasy,2,DN
Film-Noir,0,DN
Historický,5,DN
Horor,9,DN
Hudební,2,DN
Katastrofický,0,DN
Komedie,41,DN
Krimi,17,DN
Muzikál,1,DN
Mysteriózní,9,DN
Poetický,0,DN
Pohádka,0,DN
Psychologický,6,DN
Rodinný,8,DN
Romantický,25,DN
Sci-Fi,4,DN
Sportovní,1,DN
Thriller,27,DN
Váleèný,8,DN
Western,0,DN
Životopisný,5,DN
Akèní,0,DV
Animovaný,0,DV
Dobrodružný,6,DV
Dokumentární,0,DV
Drama,25,DV
Experimentální,0,DV
Fantasy,6,DV
Film-Noir,0,DV
Historický,9,DV
Horor,0,DV
Hudební,1,DV
Katastrofický,0,DV
Komedie,5,DV
Krimi,1,DV
Muzikál,0,DV
Mysteriózní,0,DV
Poetický,0,DV
Pohádka,5,DV
Psychologický,0,DV
Rodinný,8,DV
Romantický,6,DV
Sci-Fi,3,DV
Sportovní,0,DV
Thriller,2,DV
Váleèný,10,DV
Western,14,DV
Životopisný,0,DV
Akèní,21,DZ
Animovaný,6,DZ
Dobrodružný,64,DZ
Dokumentární,14,DZ
Drama,219,DZ
Experimentální,0,DZ
