reziser,jmeno,name,rok,zanr,zeme,autor,csfd,imdb,odkaz,link,rozdil
"Nolan, Christopher",Sledování,Following ,1998,Krimi/Mysteriózní/Thriller/Drama,Velká Británie,Christopher Nolan,8.3,7.6,www.csfd.cz/film/6993-sledovani/,www.imdb.com/title/tt0154506/,0.700000000000001
"Nolan, Christopher",Memento,Memento ,2000,Thriller/Mysteriózní,USA,Christopher Nolan,8.7,8.6,www.csfd.cz/film/6995-memento/,www.imdb.com/title/tt0209144/,0.0999999999999996
"Nolan, Christopher",Insomnie,Insomnia ,2002,Mysteriózní/Krimi/Thriller,"USA, Kanada",Christopher Nolan,7.9,7.2,www.csfd.cz/film/6994-insomnie/,www.imdb.com/title/tt0278504/,0.7
"Nolan, Christopher",Batman zaèíná,Batman Begins ,2005,Akèní/Krimi/Thriller/Drama,"USA, Velká Británie",Christopher Nolan,8.6,8.3,www.csfd.cz/film/136224-batman-zacina/,www.imdb.com/title/tt0372784/,0.299999999999999
"Nolan, Christopher",Dokonalı trik,"Prestige, The ",2006,Drama/Fantasy/Mysteriózní/Thriller,"USA, Velká Británie",Christopher Nolan,8.8,8.4,www.csfd.cz/film/223160-dokonaly-trik/,www.imdb.com/title/tt0482571/,0.4
"Nolan, Christopher",Temnı rytíø,"Dark Knight, The ",2008,Akèní/Thriller/Krimi/Drama,"USA, Velká Británie",Christopher Nolan,9,9,www.csfd.cz/film/223734-temny-rytir/,www.imdb.com/title/tt0468569/,0
"Nolan, Christopher",Poèátek,Inception ,2010,Akèní/Dobrodrunı/Sci-Fi/Thriller,"USA, Velká Británie",Christopher Nolan,8.9,8.8,www.csfd.cz/film/254156-pocatek/,www.imdb.com/title/tt1375666/,0.0999999999999996
"Nolan, Christopher",These Amazing Shadows ,These Amazing Shadows ,2011,Dokumentární,USA,"Christopher Nolan, Allen Daviau",7.6,7.5,www.csfd.cz/film/287546-these-amazing-shadows/,www.imdb.com/title/tt1273222/,0.0999999999999996
"Nolan, Christopher",Temnı rytíø povstal,"Dark Knight Rises, The ",2012,Akèní/Krimi/Drama/Thriller,"USA, Velká Británie",Christopher Nolan,8.7,8.6,www.csfd.cz/film/252669-temny-rytir-povstal/,www.imdb.com/title/tt1345836/,0.0999999999999996
"Mijazaki, Hajao",Lupin sansei: Cagliostro no shiro ,Lupin sansei: Cagliostro no shiro ,1979,Animovanı/Dobrodrunı/Komedie,Japonsko,Hajao Mijazaki,8.4,7.6,www.csfd.cz/film/42135-lupin-sansei-cagliostro-no-shiro/,www.imdb.com/title/tt0079833/,0.800000000000001
"Mijazaki, Hajao",Naušika z Vìtrného údolí,Kaze no tani no Naushika ,1984,Animovanı/Dobrodrunı/Fantasy/Sci-Fi,Japonsko,Hajao Mijazaki,8.5,8.1,www.csfd.cz/film/42132-nausika-z-vetrneho-udoli/,www.imdb.com/title/tt0087544/,0.4
"Mijazaki, Hajao",Laputa: Nebeskı zámek,Tenku no shiro Laputa ,1986,Animovanı/Akèní/Dobrodrunı/Fantasy,Japonsko,Hajao Mijazaki,8.6,8,www.csfd.cz/film/28495-laputa-nebesky-zamek/,www.imdb.com/title/tt0092067/,0.6
"Mijazaki, Hajao",Mùj soused Totoro,Tonari no Totoro ,1988,Animovanı/Dobrodrunı/Fantasy/Rodinnı,Japonsko,Hajao Mijazaki,8.5,8.2,www.csfd.cz/film/42137-muj-soused-totoro/,www.imdb.com/title/tt0096283/,0.300000000000001
