Dantovo peklo|Inferno, L' (1911)|1911|Drama / Dobrodrunı|Itálie / Velká Británie|"Giuseppe de Liguoro, <a href=""/tvurce/30187-adolfo-padovan/"">Adolfo Padovan</a>"|65%|7.0|www.csfd.cz/film/225392-dantovo-peklo/|www.imdb.com/title/tt0002130/
Nezávislost Rumunska|Independen<U+021B>a României (1912)|1912|Historickı / Váleènı|Rumunsko|Aristide Demetriade|46%|6.4|www.csfd.cz/film/234861-nezavislost-rumunska/|www.imdb.com/title/tt0002452/
Fantomas|Juve contre Fantômas (1913)|1913|Drama|Francie|Louis Feuillade|77%|7.0|www.csfd.cz/film/189902-fantomas/|www.imdb.com/title/tt0003037/
Praskı student|Student von Prag, Der (1913)|1913|Drama / Horor|Nìmecko|"Stellan Rye, <a href=""/tvurce/10146-paul-wegener/"">Paul Wegener</a>"|72%|6.5|www.csfd.cz/film/139429-prazsky-student/|www.imdb.com/title/tt0003419/
Mort qui tue, Le (1913)|Mort qui tue, Le (1913)|1913|Drama|Francie|Louis Feuillade|68%|7.0|www.csfd.cz/film/189904-mort-qui-tue-le/|www.imdb.com/title/tt0003165/
Boj o svìtovládu|Cabiria (1914)|1914|Dobrodrunı / Drama / Váleènı|Itálie|Giovanni Pastrone|79%|6.9|www.csfd.cz/film/133663-boj-o-svetovladu/|www.imdb.com/title/tt0003740/
Faux magistrat, Le (1914)|Faux magistrat, Le (1914)|1914|Drama|Francie|Louis Feuillade|81%|6.8|www.csfd.cz/film/189897-faux-magistrat-le/|www.imdb.com/title/tt0003952/
Chaplin honí dolary|Tillie's Punctured Romance (1914)|1914|Komedie|USA|Mack Sennett|64%|6.8|www.csfd.cz/film/19059-chaplin-honi-dolary/|www.imdb.com/title/tt0004707/
Zrození národa|Birth of a Nation, The (1915)|1915|Drama / Historickı / Romantickı / Váleènı|USA|D. W. Griffith|75%|6.9|www.csfd.cz/film/3439-zrozeni-naroda/|www.imdb.com/title/tt0004972/
Vampires, Les (1915)|Vampires, Les (1915)|1915|Krimi / Dobrodrunı / Akèní / Drama / Mysteriózní / Thriller|Francie|Louis Feuillade|76%|7.1|www.csfd.cz/film/189916-vampires-les/|www.imdb.com/title/tt0006206/
Golem|Golem, Der (1915)|1915|Horor|Nìmecko|"Henrik Galeen, <a href=""/tvurce/10146-paul-wegener/"">Paul Wegener</a>"|72%|6.5|www.csfd.cz/film/139294-golem/|www.imdb.com/title/tt0004026/
Intolerance|Intolerance: Love's Struggle Through the Ages (1916)|1916|Drama / Historickı / Romantickı|USA|D. W. Griffith|82%|7.9|www.csfd.cz/film/3640-intolerance/|www.imdb.com/title/tt0006864/
Burlesque on Carmen (1916)|Burlesque on Carmen (1916)|1916|Komedie|USA|Charles Chaplin|63%|6.1|www.csfd.cz/film/69649-burlesque-on-carmen/|www.imdb.com/title/tt0006497/
20 000 mil pod moøem|20,000 Leagues Under the Sea (1916)|1916|Akèní / Dobrodrunı / Sci-Fi|USA|Stuart Paton|57%|6.6|www.csfd.cz/film/152327-20-000-mil-pod-morem/|www.imdb.com/title/tt0006333/
Psanci|Berg-Ejvind och hans hustru (1918)|1918|Drama|Švédsko / Island|Victor Sjöström|76%|7.1|www.csfd.cz/film/107565-psanci/|www.imdb.com/title/tt0008879/
Ústøicová princezna|Austernprinzessin, Die (1919)|1919|Komedie|Nìmecko|Ernst Lubitsch|86%|7.1|www.csfd.cz/film/6093-ustricova-princezna/|www.imdb.com/title/tt0009893/
Pánì Arnùv poklad|Herr Arnes pengar (1919)|1919|Drama / Historickı|Švédsko|Mauritz Stiller|83%|7.1|www.csfd.cz/film/155452-pane-arnuv-poklad/|www.imdb.com/title/tt0010247/
Pavouci I (Zlaté jezero)|Spinnen, 1. Teil: Der Goldene See, Die (1919)|1919|Dobrodrunı / Western|Nìmecko|Fritz Lang|76%|6.6|www.csfd.cz/film/5623-pavouci-i-zlate-jezero/|www.imdb.com/title/tt0010726/
Slepí manelé|Blind Husbands (1919)|1919|Drama / Romantickı|USA|Erich von Stroheim|75%|6.8|www.csfd.cz/film/9375-slepi-manzele/|www.imdb.com/title/tt0009937/
Zlomenı kvìt|Broken Blossoms (1919)|1919|Drama / Romantickı|USA|D. W. Griffith|69%|7.6|www.csfd.cz/film/3447-zlomeny-kvet/|www.imdb.com/title/tt0009968/
