rok,csfd,zanr
1911,0,AKCNI
1912,0,AKCNI
1913,0,AKCNI
1914,0,AKCNI
1915,1,AKCNI
1916,1,AKCNI
1917,0,AKCNI
1918,0,AKCNI
1919,0,AKCNI
1920,0,AKCNI
1921,1,AKCNI
1922,0,AKCNI
1923,1,AKCNI
1924,2,AKCNI
1925,0,AKCNI
1926,1,AKCNI
1927,0,AKCNI
1928,0,AKCNI
1929,1,AKCNI
1930,0,AKCNI
1931,1,AKCNI
1932,2,AKCNI
1933,1,AKCNI
1934,1,AKCNI
1935,1,AKCNI
1936,1,AKCNI
1937,1,AKCNI
1938,1,AKCNI
1939,0,AKCNI
1940,3,AKCNI
1941,0,AKCNI
1942,4,AKCNI
1943,3,AKCNI
1944,0,AKCNI
1945,2,AKCNI
1946,0,AKCNI
1947,0,AKCNI
1948,2,AKCNI
1949,4,AKCNI
1950,1,AKCNI
1951,3,AKCNI
1952,2,AKCNI
1953,2,AKCNI
1954,4,AKCNI
1955,3,AKCNI
1956,6,AKCNI
1957,5,AKCNI
1958,7,AKCNI
1959,7,AKCNI
1960,2,AKCNI
1961,11,AKCNI
1962,10,AKCNI
1963,10,AKCNI
1964,15,AKCNI
1965,11,AKCNI
1966,17,AKCNI
1967,16,AKCNI
1968,22,AKCNI
1969,24,AKCNI
1970,13,AKCNI
1971,24,AKCNI
1972,31,AKCNI
1973,37,AKCNI
1974,38,AKCNI
1975,26,AKCNI
1976,35,AKCNI
1977,32,AKCNI
1978,33,AKCNI
1979,35,AKCNI
1980,39,AKCNI
1981,37,AKCNI
1982,39,AKCNI
1983,40,AKCNI
1984,47,AKCNI
1985,64,AKCNI
1986,65,AKCNI
1987,48,AKCNI
1988,40,AKCNI
1989,59,AKCNI
1990,67,AKCNI
1991,68,AKCNI
1992,57,AKCNI
1993,65,AKCNI
1994,55,AKCNI
1995,45,AKCNI
1996,40,AKCNI
1997,40,AKCNI
1998,39,AKCNI
1999,25,AKCNI
2000,32,AKCNI
2001,45,AKCNI
2002,33,AKCNI
2003,43,AKCNI
2004,41,AKCNI
2005,30,AKCNI
2006,36,AKCNI
2007,23,AKCNI
2008,38,AKCNI
2009,22,AKCNI
2010,38,AKCNI
2011,26,AKCNI
2012,38,AKCNI
1911,0,ANIME
1912,0,ANIME
1913,0,ANIME
1914,0,ANIME
1915,0,ANIME
1916,0,ANIME
1917,0,ANIME
1918,0,ANIME
1919,0,ANIME
1920,0,ANIME
1921,0,ANIME
1922,0,ANIME
1923,0,ANIME
1924,0,ANIME
1925,0,ANIME
1926,1,ANIME
1927,0,ANIME
1928,0,ANIME
1929,0,ANIME
1930,0,ANIME
1931,0,ANIME
1932,0,ANIME
1933,0,ANIME
1934,0,ANIME
1935,0,ANIME
1936,0,ANIME
1937,1,ANIME
1938,0,ANIME
1939,1,ANIME
1940,2,ANIME
1941,2,ANIME
1942,1,ANIME
1943,0,ANIME
1944,1,ANIME
1945,0,ANIME
1946,0,ANIME
1947,1,ANIME
1948,1,ANIME
1949,1,ANIME
1950,2,ANIME
1951,1,ANIME
1952,3,ANIME
1953,1,ANIME
1954,1,ANIME
1955,1,ANIME
1956,0,ANIME
1957,2,ANIME
1958,0,ANIME
1959,3,ANIME
1960,0,ANIME
1961,2,ANIME
1962,1,ANIME
1963,1,ANIME
1964,1,ANIME
1965,0,ANIME
1966,1,ANIME
1967,2,ANIME
1968,3,ANIME
1969,3,ANIME
1970,1,ANIME
1971,1,ANIME
1972,4,ANIME
1973,5,ANIME
1974,2,ANIME
1975,2,ANIME
1976,5,ANIME
1977,7,ANIME
1978,4,ANIME
1979,4,ANIME
1980,4,ANIME
1981,6,ANIME
1982,8,ANIME
1983,9,ANIME
1984,2,ANIME
1985,9,ANIME
1986,12,ANIME
1987,7,ANIME
1988,12,ANIME
1989,11,ANIME
1990,9,ANIME
1991,8,ANIME
1992,12,ANIME
1993,10,ANIME
1994,9,ANIME
1995,12,ANIME
1996,12,ANIME
1997,11,ANIME
1998,12,ANIME
1999,8,ANIME
2000,15,ANIME
2001,15,ANIME
2002,11,ANIME
2003,15,ANIME
2004,16,ANIME
2005,10,ANIME
2006,19,ANIME
2007,16,ANIME
2008,12,ANIME
2009,25,ANIME
2010,18,ANIME
2011,19,ANIME
2012,21,ANIME
1911,1,DOBRO
1912,0,DOBRO
1913,0,DOBRO
1914,1,DOBRO
1915,1,DOBRO
1916,1,DOBRO
1917,0,DOBRO
1918,0,DOBRO
1919,1,DOBRO
1920,2,DOBRO
1921,2,DOBRO
1922,1,DOBRO
1923,1,DOBRO
1924,4,DOBRO
1925,3,DOBRO
1926,2,DOBRO
1927,1,DOBRO
1928,0,DOBRO
1929,2,DOBRO
1930,1,DOBRO
1931,0,DOBRO
1932,6,DOBRO
1933,4,DOBRO
1934,5,DOBRO
1935,4,DOBRO
1936,3,DOBRO
1937,4,DOBRO
1938,2,DOBRO
1939,7,DOBRO
1940,7,DOBRO
1941,3,DOBRO
1942,6,DOBRO
1943,5,DOBRO
1944,3,DOBRO
1945,4,DOBRO
1946,3,DOBRO
1947,3,DOBRO
1948,7,DOBRO
1949,4,DOBRO
1950,5,DOBRO
1951,5,DOBRO
1952,12,DOBRO
1953,10,DOBRO
1954,20,DOBRO
1955,7,DOBRO
1956,10,DOBRO
1957,7,DOBRO
1958,11,DOBRO
1959,16,DOBRO
1960,10,DOBRO
1961,20,DOBRO
1962,29,DOBRO
1963,22,DOBRO
1964,27,DOBRO
1965,23,DOBRO
1966,29,DOBRO
1967,21,DOBRO
1968,23,DOBRO
1969,28,DOBRO
1970,17,DOBRO
1971,20,DOBRO
1972,21,DOBRO
1973,16,DOBRO
1974,25,DOBRO
1975,25,DOBRO
