"","rok","csfd","zeme"
"1",1911,0,"AT"
"2",1912,0,"AT"
"3",1913,0,"AT"
"4",1914,0,"AT"
"5",1915,0,"AT"
"6",1916,0,"AT"
"7",1917,0,"AT"
"8",1918,0,"AT"
"9",1919,0,"AT"
"10",1920,0,"AT"
"11",1921,0,"AT"
"12",1922,1,"AT"
"13",1923,0,"AT"
"14",1924,1,"AT"
"15",1925,0,"AT"
"16",1926,0,"AT"
"17",1927,2,"AT"
"18",1928,0,"AT"
"19",1929,0,"AT"
"20",1930,0,"AT"
"21",1931,0,"AT"
"22",1932,0,"AT"
"23",1933,1,"AT"
"24",1934,0,"AT"
"25",1935,0,"AT"
"26",1936,0,"AT"
"27",1937,0,"AT"
"28",1938,0,"AT"
"29",1939,0,"AT"
"30",1940,0,"AT"
"31",1941,0,"AT"
"32",1942,0,"AT"
"33",1943,0,"AT"
"34",1944,0,"AT"
"35",1945,0,"AT"
"36",1946,0,"AT"
"37",1947,0,"AT"
"38",1948,0,"AT"
"39",1949,0,"AT"
"40",1950,0,"AT"
"41",1951,0,"AT"
"42",1952,0,"AT"
"43",1953,0,"AT"
"44",1954,1,"AT"
"45",1955,2,"AT"
"46",1956,1,"AT"
"47",1957,1,"AT"
"48",1958,0,"AT"
"49",1959,0,"AT"
"50",1960,1,"AT"
"51",1961,0,"AT"
"52",1962,0,"AT"
"53",1963,0,"AT"
"54",1964,0,"AT"
"55",1965,0,"AT"
"56",1966,1,"AT"
"57",1967,0,"AT"
"58",1968,0,"AT"
"59",1969,0,"AT"
"60",1970,1,"AT"
"61",1971,0,"AT"
"62",1972,0,"AT"
"63",1973,0,"AT"
"64",1974,0,"AT"
"65",1975,0,"AT"
"66",1976,0,"AT"
"67",1977,0,"AT"
"68",1978,2,"AT"
"69",1979,1,"AT"
"70",1980,1,"AT"
"71",1981,1,"AT"
"72",1982,1,"AT"
"73",1983,2,"AT"
"74",1984,0,"AT"
"75",1985,1,"AT"
"76",1986,1,"AT"
"77",1987,0,"AT"
"78",1988,2,"AT"
"79",1989,1,"AT"
"80",1990,1,"AT"
"81",1991,0,"AT"
"82",1992,3,"AT"
"83",1993,2,"AT"
"84",1994,2,"AT"
"85",1995,2,"AT"
"86",1996,1,"AT"
"87",1997,3,"AT"
"88",1998,2,"AT"
"89",1999,3,"AT"
"90",2000,0,"AT"
"91",2001,3,"AT"
"92",2002,1,"AT"
"93",2003,3,"AT"
"94",2004,3,"AT"
"95",2005,4,"AT"
"96",2006,6,"AT"
"97",2007,4,"AT"
"98",2008,8,"AT"
"99",2009,6,"AT"
"100",2010,7,"AT"
"101",2011,6,"AT"
"102",2012,7,"AT"
"103",1911,0,"CN"
"104",1912,0,"CN"
"105",1913,0,"CN"
"106",1914,0,"CN"
"107",1915,0,"CN"
"108",1916,0,"CN"
"109",1917,0,"CN"
"110",1918,0,"CN"
"111",1919,0,"CN"
"112",1920,0,"CN"
"113",1921,0,"CN"
"114",1922,0,"CN"
"115",1923,0,"CN"
"116",1924,0,"CN"
"117",1925,0,"CN"
"118",1926,0,"CN"
"119",1927,0,"CN"
"120",1928,0,"CN"
"121",1929,0,"CN"
"122",1930,0,"CN"
"123",1931,0,"CN"
"124",1932,0,"CN"
"125",1933,0,"CN"
"126",1934,0,"CN"
"127",1935,0,"CN"
"128",1936,0,"CN"
"129",1937,0,"CN"
"130",1938,0,"CN"
"131",1939,0,"CN"
"132",1940,0,"CN"
"133",1941,0,"CN"
"134",1942,0,"CN"
"135",1943,0,"CN"
"136",1944,0,"CN"
"137",1945,0,"CN"
"138",1946,0,"CN"
"139",1947,0,"CN"
"140",1948,0,"CN"
"141",1949,0,"CN"
"142",1950,0,"CN"
"143",1951,0,"CN"
"144",1952,0,"CN"
"145",1953,0,"CN"
"146",1954,0,"CN"
"147",1955,0,"CN"
"148",1956,0,"CN"
"149",1957,0,"CN"
"150",1958,0,"CN"
"151",1959,0,"CN"
"152",1960,0,"CN"
"153",1961,0,"CN"
"154",1962,0,"CN"
"155",1963,0,"CN"
"156",1964,0,"CN"
"157",1965,0,"CN"
"158",1966,0,"CN"
"159",1967,0,"CN"
"160",1968,0,"CN"
"161",1969,0,"CN"
"162",1970,0,"CN"
"163",1971,0,"CN"
"164",1972,0,"CN"
"165",1973,0,"CN"
"166",1974,0,"CN"
"167",1975,0,"CN"
"168",1976,0,"CN"
"169",1977,0,"CN"
"170",1978,0,"CN"
"171",1979,0,"CN"
"172",1980,1,"CN"
"173",1981,0,"CN"
"174",1982,0,"CN"
"175",1983,3,"CN"
"176",1984,2,"CN"
"177",1985,2,"CN"
"178",1986,5,"CN"
"179",1987,1,"CN"
"180",1988,3,"CN"
"181",1989,0,"CN"
"182",1990,1,"CN"
"183",1991,1,"CN"
"184",1992,1,"CN"
"185",1993,4,"CN"
"186",1994,4,"CN"
"187",1995,1,"CN"
"188",1996,2,"CN"
"189",1997,1,"CN"
"190",1998,1,"CN"
"191",1999,4,"CN"
"192",2000,4,"CN"
"193",2001,5,"CN"
"194",2002,4,"CN"
"195",2003,4,"CN"
"196",2004,13,"CN"
"197",2005,7,"CN"
"198",2006,7,"CN"
"199",2007,8,"CN"
"200",2008,4,"CN"
"201",2009,7,"CN"
"202",2010,7,"CN"
"203",2011,5,"CN"
"204",2012,8,"CN"
"205",1911,0,"CS"
"206",1912,0,"CS"
"207",1913,0,"CS"
"208",1914,0,"CS"
"209",1915,0,"CS"
"210",1916,0,"CS"
"211",1917,0,"CS"
"212",1918,0,"CS"
"213",1919,0,"CS"
"214",1920,0,"CS"
"215",1921,3,"CS"
"216",1922,0,"CS"
"217",1923,1,"CS"
"218",1924,0,"CS"
"219",1925,1,"CS"
"220",1926,3,"CS"
"221",1927,3,"CS"
"222",1928,2,"CS"
"223",1929,6,"CS"
"224",1930,7,"CS"
"225",1931,16,"CS"
"226",1932,19,"CS"
"227",1933,30,"CS"
"228",1934,24,"CS"
"229",1935,19,"CS"
"230",1936,24,"CS"
"231",1937,40,"CS"
"232",1938,34,"CS"
"233",1939,35,"CS"
"234",1940,29,"CS"
"235",1941,20,"CS"
"236",1942,11,"CS"
"237",1943,7,"CS"
"238",1944,10,"CS"
"239",1945,3,"CS"
"240",1946,14,"CS"
"241",1947,21,"CS"
"242",1948,21,"CS"
"243",1949,18,"CS"
"244",1950,21,"CS"
"245",1951,8,"CS"
"246",1952,21,"CS"
"247",1953,17,"CS"
"248",1954,13,"CS"
"249",1955,22,"CS"
"250",1956,25,"CS"
"251",1957,18,"CS"
"252",1958,26,"CS"
"253",1959,34,"CS"
"254",1960,27,"CS"
"255",1961,35,"CS"
"256",1962,35,"CS"
"257",1963,33,"CS"
"258",1964,36,"CS"
"259",1965,37,"CS"
"260",1966,37,"CS"
"261",1967,39,"CS"
"262",1968,41,"CS"
"263",1969,37,"CS"
"264",1970,39,"CS"
"265",1971,35,"CS"
"266",1972,35,"CS"
"267",1973,38,"CS"
"268",1974,36,"CS"
"269",1975,38,"CS"
"270",1976,38,"CS"
"271",1977,46,"CS"
"272",1978,45,"CS"
"273",1979,47,"CS"
"274",1980,45,"CS"
"275",1981,45,"CS"
"276",1982,43,"CS"
"277",1983,37,"CS"
"278",1984,49,"CS"
"279",1985,36,"CS"
"280",1986,35,"CS"
"281",1987,34,"CS"
"282",1988,25,"CS"
"283",1989,23,"CS"
"284",1990,28,"CS"
"285",1991,8,"CS"
"286",1992,8,"CS"
"287",1993,0,"CS"
"288",1994,0,"CS"
"289",1995,0,"CS"
"290",1996,0,"CS"
"291",1997,0,"CS"
"292",1998,0,"CS"
"293",1999,0,"CS"
"294",2000,0,"CS"
"295",2001,0,"CS"
"296",2002,0,"CS"
"297",2003,0,"CS"
"298",2004,0,"CS"
"299",2005,0,"CS"
"300",2006,0,"CS"
"301",2007,0,"CS"
"302",2008,0,"CS"
"303",2009,0,"CS"
"304",2010,0,"CS"
"305",2011,0,"CS"
"306",2012,0,"CS"
"307",1911,0,"CZ"
"308",1912,0,"CZ"
"309",1913,0,"CZ"
"310",1914,0,"CZ"
"311",1915,0,"CZ"
"312",1916,0,"CZ"
"313",1917,0,"CZ"
"314",1918,0,"CZ"
"315",1919,0,"CZ"
"316",1920,0,"CZ"
"317",1921,0,"CZ"
"318",1922,0,"CZ"
"319",1923,0,"CZ"
"320",1924,0,"CZ"
"321",1925,0,"CZ"
"322",1926,0,"CZ"
"323",1927,0,"CZ"
"324",1928,0,"CZ"
"325",1929,0,"CZ"
"326",1930,0,"CZ"
"327",1931,0,"CZ"
"328",1932,0,"CZ"
"329",1933,0,"CZ"
"330",1934,0,"CZ"
"331",1935,0,"CZ"
"332",1936,0,"CZ"
"333",1937,0,"CZ"
"334",1938,0,"CZ"
"335",1939,0,"CZ"
"336",1940,0,"CZ"
"337",1941,0,"CZ"
"338",1942,0,"CZ"
"339",1943,0,"CZ"
"340",1944,0,"CZ"
"341",1945,0,"CZ"
"342",1946,0,"CZ"
"343",1947,0,"CZ"
"344",1948,0,"CZ"
"345",1949,0,"CZ"
"346",1950,0,"CZ"
"347",1951,0,"CZ"
"348",1952,0,"CZ"
"349",1953,0,"CZ"
"350",1954,0,"CZ"
"351",1955,0,"CZ"
"352",1956,0,"CZ"
"353",1957,0,"CZ"
"354",1958,0,"CZ"
"355",1959,0,"CZ"
"356",1960,0,"CZ"
"357",1961,0,"CZ"
"358",1962,0,"CZ"
"359",1963,0,"CZ"
"360",1964,0,"CZ"
"361",1965,0,"CZ"
"362",1966,0,"CZ"
"363",1967,0,"CZ"
"364",1968,0,"CZ"
"365",1969,0,"CZ"
"366",1970,0,"CZ"
"367",1971,0,"CZ"
"368",1972,0,"CZ"
"369",1973,0,"CZ"
"370",1974,0,"CZ"
"371",1975,0,"CZ"
"372",1976,0,"CZ"
"373",1977,0,"CZ"
"374",1978,0,"CZ"
"375",1979,0,"CZ"
"376",1980,0,"CZ"
"377",1981,0,"CZ"
"378",1982,0,"CZ"
"379",1983,0,"CZ"
"380",1984,0,"CZ"
"381",1985,0,"CZ"
"382",1986,0,"CZ"
"383",1987,0,"CZ"
"384",1988,0,"CZ"
"385",1989,0,"CZ"
"386",1990,0,"CZ"
"387",1991,0,"CZ"
"388",1992,0,"CZ"
"389",1993,12,"CZ"
"390",1994,14,"CZ"
"391",1995,6,"CZ"
"392",1996,13,"CZ"
"393",1997,9,"CZ"
"394",1998,6,"CZ"
"395",1999,12,"CZ"
"396",2000,10,"CZ"
"397",2001,12,"CZ"
"398",2002,9,"CZ"
"399",2003,10,"CZ"
"400",2004,6,"CZ"
"401",2005,14,"CZ"
"402",2006,9,"CZ"
"403",2007,10,"CZ"
"404",2008,6,"CZ"
"405",2009,11,"CZ"
"406",2010,11,"CZ"
"407",2011,16,"CZ"
"408",2012,20,"CZ"
"409",1911,0,"DE"
"410",1912,0,"DE"
"411",1913,1,"DE"
"412",1914,0,"DE"
"413",1915,1,"DE"
"414",1916,0,"DE"
"415",1917,0,"DE"
"416",1918,0,"DE"
"417",1919,2,"DE"
"418",1920,4,"DE"
"419",1921,3,"DE"
"420",1922,4,"DE"
"421",1923,2,"DE"
"422",1924,6,"DE"
"423",1925,3,"DE"
"424",1926,4,"DE"
"425",1927,3,"DE"
"426",1928,2,"DE"
"427",1929,5,"DE"
"428",1930,4,"DE"
"429",1931,6,"DE"
"430",1932,2,"DE"
"431",1933,4,"DE"
"432",1934,0,"DE"
"433",1935,2,"DE"
"434",1936,0,"DE"
"435",1937,0,"DE"
"436",1938,3,"DE"
"437",1939,0,"DE"
"438",1940,2,"DE"
"439",1941,0,"DE"
"440",1942,1,"DE"
"441",1943,3,"DE"
"442",1944,3,"DE"
"443",1945,0,"DE"
"444",1946,1,"DE"
"445",1947,0,"DE"
"446",1948,0,"DE"
"447",1949,0,"DE"
"448",1950,0,"DE"
"449",1951,0,"DE"
"450",1952,0,"DE"
"451",1953,0,"DE"
"452",1954,0,"DE"
"453",1955,0,"DE"
"454",1956,0,"DE"
"455",1957,0,"DE"
"456",1958,0,"DE"
"457",1959,0,"DE"
"458",1960,0,"DE"
"459",1961,0,"DE"
"460",1962,0,"DE"
"461",1963,0,"DE"
"462",1964,0,"DE"
"463",1965,0,"DE"
"464",1966,0,"DE"
"465",1967,0,"DE"
"466",1968,0,"DE"
"467",1969,0,"DE"
"468",1970,0,"DE"
"469",1971,0,"DE"
"470",1972,0,"DE"
"471",1973,0,"DE"
"472",1974,0,"DE"
"473",1975,0,"DE"
"474",1976,0,"DE"
"475",1977,0,"DE"
"476",1978,0,"DE"
"477",1979,0,"DE"
"478",1980,0,"DE"
"479",1981,0,"DE"
"480",1982,0,"DE"
"481",1983,0,"DE"
"482",1984,1,"DE"
"483",1985,0,"DE"
"484",1986,1,"DE"
"485",1987,0,"DE"
"486",1988,0,"DE"
"487",1989,0,"DE"
"488",1990,10,"DE"
"489",1991,13,"DE"
"490",1992,7,"DE"
"491",1993,14,"DE"
"492",1994,27,"DE"
"493",1995,28,"DE"
"494",1996,14,"DE"
"495",1997,26,"DE"
"496",1998,21,"DE"
"497",1999,30,"DE"
"498",2000,35,"DE"
"499",2001,49,"DE"
"500",2002,45,"DE"
"501",2003,24,"DE"
"502",2004,34,"DE"
"503",2005,39,"DE"
"504",2006,32,"DE"
"505",2007,26,"DE"
"506",2008,37,"DE"
"507",2009,37,"DE"
"508",2010,35,"DE"
"509",2011,32,"DE"
"510",2012,23,"DE"
"511",1911,0,"DN"
"512",1912,0,"DN"
"513",1913,0,"DN"
"514",1914,0,"DN"
"515",1915,0,"DN"
"516",1916,0,"DN"
"517",1917,0,"DN"
"518",1918,0,"DN"
"519",1919,0,"DN"
"520",1920,0,"DN"
"521",1921,1,"DN"
"522",1922,1,"DN"
"523",1923,0,"DN"
"524",1924,0,"DN"
"525",1925,1,"DN"
"526",1926,0,"DN"
"527",1927,0,"DN"
"528",1928,0,"DN"
"529",1929,0,"DN"
"530",1930,0,"DN"
"531",1931,0,"DN"
"532",1932,0,"DN"
"533",1933,0,"DN"
"534",1934,0,"DN"
"535",1935,0,"DN"
"536",1936,0,"DN"
"537",1937,0,"DN"
"538",1938,0,"DN"
"539",1939,0,"DN"
"540",1940,0,"DN"
"541",1941,0,"DN"
"542",1942,0,"DN"
"543",1943,1,"DN"
"544",1944,0,"DN"
"545",1945,0,"DN"
"546",1946,0,"DN"
"547",1947,0,"DN"
"548",1948,0,"DN"
"549",1949,0,"DN"
"550",1950,0,"DN"
"551",1951,0,"DN"
"552",1952,0,"DN"
"553",1953,0,"DN"
"554",1954,0,"DN"
"555",1955,1,"DN"
"556",1956,0,"DN"
"557",1957,0,"DN"
"558",1958,0,"DN"
"559",1959,0,"DN"
"560",1960,0,"DN"
"561",1961,1,"DN"
"562",1962,0,"DN"
"563",1963,0,"DN"
"564",1964,1,"DN"
"565",1965,0,"DN"
"566",1966,1,"DN"
"567",1967,0,"DN"
"568",1968,0,"DN"
"569",1969,0,"DN"
"570",1970,1,"DN"
"571",1971,0,"DN"
"572",1972,0,"DN"
"573",1973,1,"DN"
"574",1974,0,"DN"
"575",1975,0,"DN"
"576",1976,0,"DN"
"577",1977,0,"DN"
"578",1978,1,"DN"
"579",1979,0,"DN"
"580",1980,0,"DN"
"581",1981,0,"DN"
"582",1982,0,"DN"
"583",1983,0,"DN"
"584",1984,2,"DN"
"585",1985,0,"DN"
"586",1986,2,"DN"
"587",1987,3,"DN"
"588",1988,2,"DN"
"589",1989,0,"DN"
"590",1990,0,"DN"
"591",1991,3,"DN"
"592",1992,1,"DN"
"593",1993,2,"DN"
"594",1994,3,"DN"
"595",1995,6,"DN"
"596",1996,5,"DN"
"597",1997,2,"DN"
"598",1998,6,"DN"
